modelo,titulo,precio,moneda,año,km,ubicacion
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,17500000.0,$,2018,76.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,14000000.0,$,2017,170.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,11900.0,US$,2020,146.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,12000000.0,$,2014,119.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,14500.0,US$,2020,70.000 Km,General Rodríguez - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,12500000.0,$,2014,175.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,10800000.0,$,2018,130.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,12500.0,US$,2018,138.737 Km,Ituzaingó - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,15700000.0,$,2017,88.400 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,13500000.0,$,2016,135.000 Km,La Plata - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,17900000.0,$,2018,74.826 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,14500000.0,$,2018,97.000 Km,Pilar - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,16750000.0,$,2018,101.000 Km,Tigre - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,14800000.0,$,2017,110.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,10300000.0,$,2018,225.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,12500000.0,$,2016,110.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,15500000.0,$,2017,97.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,9900000.0,$,2016,221.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,15400000.0,$,2018,144.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,9000.0,US$,2018,252.000 Km,Tigre - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,13990000.0,$,2018,144.000 Km,Quilmes - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14400000.0,$,2018,90.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 N Lt,12000.0,US$,2019,74.000 Km,San Fernando - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,16500000.0,$,2018,100.000 Km,Lomas De Zamora - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,18000000.0,$,2015,136.500 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,11900000.0,$,2014,177.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,17000000.0,$,2019,96.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,11000.0,US$,2019,136.000 Km,La Plata - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,16750000.0,$,2019,60.000 Km,La Plata - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,13000.0,US$,2019,80.000 Km,Pilar - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,13200.0,US$,2019,138.000 Km,Escobar - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,18000000.0,$,2019,96.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,15500000.0,$,2018,92.000 Km,Avellaneda - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13990000.0,$,2013,105.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,16800000.0,$,2018,125.000 Km,Morón - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,14500000.0,$,2016,136.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,17000000.0,$,2021,87.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,10800.0,US$,2017,86.000 Km,Avellaneda - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,13900000.0,$,2017,160.106 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,13500000.0,$,2014,110.000 Km,Avellaneda - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,13000000.0,$,2015,114.000 Km,Pilar - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,9500.0,US$,2016,123.000 Km,Lomas De Zamora - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,11500.0,US$,2019,136.000 Km,Tigre - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14000000.0,$,2015,98.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13000000.0,$,2015,300.000 Km,Lanús - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,16900000.0,$,2019,90.000 Km,Berazategui - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,14800000.0,$,2015,1.111 Km,Moreno - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,12500000.0,$,2017,83.500 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,14850000.0,$,2018,94.500 Km,General San Martín - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14900000.0,$,2016,148.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14500000.0,$,2016,115.000 Km,La Plata - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14900000.0,$,2016,97.000 Km,Avellaneda - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13500000.0,$,2016,193.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ls Joy L16,14000000.0,$,2018,44.891 Km,Malvinas Argentinas - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,14000000.0,$,2018,71.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,9780000.0,$,2018,163.900 Km,Quilmes - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,13500000.0,$,2018,164.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,16500000.0,$,2018,82.000 Km,Ituzaingó - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,14100000.0,$,2018,106.000 Km,Quilmes - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13500000.0,$,2014,140.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,16500000.0,$,2017,82.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,16500000.0,$,2017,100.500 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 92cv,7000000.0,$,2011,150.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13000000.0,$,2017,115.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,14800000.0,$,2017,105.000 Km,Malvinas Argentinas - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,15500000.0,$,2016,88.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13000.0,US$,2018,100.000 Km,General Rodríguez - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,16700000.0,$,2018,120.780 Km,Escobar - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,13300000.0,$,2018,110.000 Km,Pilar - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,13900000.0,$,2018,104.000 Km,San Fernando - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14500000.0,$,2016,114.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,9800.0,US$,2015,159.000 Km,Morón - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14700000.0,$,2015,155.000 Km,Lomas De Zamora - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,16000000.0,$,2015,114.000 Km,San Miguel - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,13600000.0,$,2017,124.000 Km,San Miguel - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,16100000.0,$,2018,77.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13200.0,US$,2020,96.800 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,11500.0,US$,2016,243.000 Km,Escobar - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,9900.0,US$,2017,124.916 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,15000000.0,$,2017,132.000 Km,Caseros - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,15500000.0,$,2017,110.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,14999999.0,$,2017,116.000 Km,Cañuelas - Buenos Aires Interior
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,12495000.0,$,2017,74.500 Km,Avellaneda - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,14000000.0,$,2017,110.000 Km,General San Martín - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls+,12500000.0,$,2017,132.000 Km,La Plata - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,12900000.0,$,2017,165.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,12500000.0,$,2017,116.000 Km,Avellaneda - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,9000.0,US$,2018,252.000 Km,Tigre - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,13800000.0,$,2018,125.000 Km,Lomas De Zamora - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,16500000.0,$,2018,106.000 Km,Hurlingham - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,13500000.0,$,2014,111.600 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,16990000.0,$,2018,80.000 Km,Lanús - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ls 92cv,12000000.0,$,2013,105.000 Km,San Isidro - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,15900000.0,$,2015,58.000 Km,Moreno - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,11000.0,US$,2015,117.295 Km,Del Viso - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,11500000.0,$,2017,130.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13000000.0,$,2017,115.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,13900000.0,$,2018,104.000 Km,San Fernando - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,12200.0,US$,2019,96.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,8900.0,US$,2016,150.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,14000000.0,$,2017,100.000 Km,Quilmes - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,12700000.0,$,2017,128.000 Km,Vicente López - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,13500000.0,$,2016,121.000 Km,Avellaneda - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,15500000.0,$,2018,95.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,16500000.0,$,2018,82.000 Km,Ituzaingó - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,9900000.0,$,2017,111.111 Km,Moreno - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ls 92cv,11500000.0,$,2012,170.000 Km,Florencio Varela - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,13500000.0,$,2017,120.334 Km,Pilar - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,15000000.0,$,2018,144.000 Km,Berazategui - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,15500000.0,$,2018,66.000 Km,Lanús - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14900000.0,$,2016,100.000 Km,San Isidro - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,11500000.0,$,2019,165.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,14900.0,US$,2019,64.000 Km,Quilmes - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,16900000.0,$,2019,110.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13500000.0,$,2015,147.000 Km,San Fernando - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,17800000.0,$,2019,87.000 Km,Malvinas Argentinas - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls,18000000.0,$,2019,59.400 Km,Avellaneda - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,15300000.0,$,2018,55.000 Km,Quilmes - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,14500000.0,$,2018,150.000 Km,Tigre - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,10500000.0,$,2016,200.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,13230000.0,$,2017,103.683 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,15800000.0,$,2017,110.000 Km,Quilmes - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,13900000.0,$,2016,88.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,9400.0,US$,2017,135.000 Km,La Plata - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,15000000.0,$,2017,95.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14500000.0,$,2015,126.000 Km,Hurlingham - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,13500000.0,$,2018,150.000 Km,Almirante Brown - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14500000.0,$,2016,136.000 Km,General San Martín - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,15500000.0,$,2016,112.000 Km,Vicente López - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,13800000.0,$,2018,116.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,12900000.0,$,2015,98.000 Km,Avellaneda - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,12500000.0,$,2018,157.000 Km,Lanús - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,10900000.0,$,2013,138.000 Km,Tigre - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,14588000.0,$,2017,84.200 Km,Quilmes - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,14000000.0,$,2016,120.000 Km,Lomas De Zamora - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,14000000.0,$,2017,54.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,11500.0,US$,2016,72.890 Km,Lanús - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,14000000.0,$,2019,216.000 Km,Ezeiza - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,14900000.0,$,2019,120.000 Km,Ezeiza - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ls 92cv,9800000.0,$,2012,156.000 Km,Lanús - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,12500000.0,$,2017,165.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,13500.0,US$,2019,85.000 Km,Pilar - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13800.0,US$,2019,113.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,12000000.0,$,2013,95.000 Km,Tres De Febrero - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ls+,13840000.0,$,2017,91.088 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,11500.0,US$,2016,138.539 Km,Morón - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,12000.0,US$,2019,45.000 Km,Vicente López - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 92cv,10500000.0,$,2011,102.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,12900000.0,$,2018,127.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,9900.0,US$,2018,117.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,18500000.0,$,2018,98.000 Km,Quilmes - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,14500000.0,$,2017,115.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,8499.0,US$,2016,165.000 Km,Tigre - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13888000.0,$,2013,116.300 Km,Quilmes - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,12800000.0,$,2013,113.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,12500.0,US$,2018,73.000 Km,Morón - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,18000000.0,$,2018,88.000 Km,Avellaneda - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ls 92cv,4490000.0,$,2012,120.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,12500000.0,$,2017,120.000 Km,Tres De Febrero - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,19500000.0,$,2020,61.000 Km,Lomas De Zamora - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,12500000.0,$,2017,120.000 Km,San Miguel - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 92cv,8000000.0,$,2012,11.111 Km,Del Viso - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,15900000.0,$,2017,60.000 Km,Lanús - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,14000000.0,$,2018,101.000 Km,Lomas De Zamora - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,11700.0,US$,2019,59.700 Km,Vicente López - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,16500000.0,$,2019,70.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,11000000.0,$,2014,178.000 Km,Morón - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,12400.0,US$,2018,42.407 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14000000.0,$,2016,130.000 Km,Hurlingham - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,11500000.0,$,2015,180.000 Km,Almirante Brown - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,14000000.0,$,2015,98.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,10500.0,US$,2016,115.000 Km,La Plata - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,11900000.0,$,2015,115.600 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,12300000.0,$,2015,122.000 Km,General San Martín - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,13800000.0,$,2016,115.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz 98cv,11500000.0,$,2016,130.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,7600.0,US$,2016,285.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,9000.0,US$,2017,238.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,13500000.0,$,2016,133.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma Joy,10600.0,US$,2017,115.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,15300000.0,$,2020,122.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,11000000.0,$,2017,215.000 Km,La Matanza - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Joy Ls 98cv,13500000.0,$,2016,99.600 Km,Merlo - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,15500000.0,$,2016,117.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,10000000.0,$,2015,145.000 Km,Hurlingham - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,15900000.0,$,2016,120.000 Km,San Miguel - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,14900000.0,$,2019,92.000 Km,Ezeiza - Bs.As. G.B.A. Sur
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 92cv,7300000.0,$,2011,230.000 Km,Moreno - Bs.As. G.B.A. Oeste
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,10500000.0,$,2016,93.000 Km,San Miguel - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Lt 98cv,13800000.0,$,2019,205.000 Km,Capital Federal - Capital Federal
Chevrolet Prisma,Chevrolet Prisma Ls,8000000.0,$,2011,300.000 Km,Tigre - Bs.As. G.B.A. Norte
Chevrolet Prisma,Chevrolet Prisma 1.4 Ltz At 98cv,12000.0,US$,2017,155.000 Km,Moreno - Bs.As. G.B.A. Oeste
